"Plot Title: OL_4"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10983451, SEN S/N: 10983451, LBL: Light_4)","Occupancy (LGR S/N: 10983451, SEN S/N: 10983451, LBL: Occ_4)"
345,07/21/22 01:55:53 AM,,1.00
346,07/21/22 01:57:03 AM,,0.00
347,07/21/22 01:57:16 AM,,1.00
348,07/21/22 01:58:32 AM,,0.00
349,07/21/22 02:01:34 AM,,1.00
350,07/21/22 02:02:38 AM,,0.00
351,07/21/22 02:06:42 AM,,1.00
352,07/21/22 02:07:42 AM,,0.00
353,07/21/22 02:36:00 AM,,1.00
354,07/21/22 02:37:01 AM,,0.00
355,07/21/22 02:42:25 AM,,1.00
356,07/21/22 02:43:31 AM,,0.00
357,07/21/22 03:30:28 AM,,1.00
358,07/21/22 03:31:30 AM,,0.00
359,07/21/22 03:55:51 AM,,1.00
360,07/21/22 03:56:55 AM,,0.00
361,07/21/22 03:58:53 AM,,1.00
362,07/21/22 04:00:51 AM,,0.00
363,07/21/22 04:14:38 AM,,1.00
364,07/21/22 04:16:17 AM,,0.00
365,07/21/22 04:16:57 AM,,1.00
366,07/21/22 04:18:23 AM,,0.00
367,07/21/22 04:18:27 AM,,1.00
368,07/21/22 04:20:52 AM,,0.00
369,07/21/22 04:45:24 AM,,1.00
370,07/21/22 04:46:44 AM,,0.00
371,07/21/22 04:53:27 AM,,1.00
372,07/21/22 04:54:29 AM,,0.00
373,07/21/22 05:13:58 AM,,1.00
374,07/21/22 05:14:59 AM,,0.00
375,07/21/22 05:23:48 AM,,1.00
376,07/21/22 05:24:49 AM,,0.00
377,07/21/22 05:26:14 AM,,1.00
378,07/21/22 05:27:15 AM,,0.00
379,07/21/22 06:00:36 AM,,1.00
380,07/21/22 06:01:57 AM,,0.00
381,07/21/22 06:18:56 AM,,1.00
382,07/21/22 06:20:10 AM,,0.00
383,07/21/22 06:21:44 AM,,1.00
384,07/21/22 06:22:50 AM,,0.00
385,07/21/22 06:30:10 AM,,1.00
386,07/21/22 06:32:49 AM,,0.00
387,07/21/22 06:34:52 AM,,1.00
388,07/21/22 06:35:52 AM,,0.00
389,07/21/22 06:40:01 AM,,1.00
390,07/21/22 06:41:13 AM,,0.00
391,07/21/22 06:43:44 AM,,1.00
392,07/21/22 06:44:46 AM,,0.00
393,07/21/22 07:03:25 AM,,1.00
394,07/21/22 07:05:45 AM,,0.00
395,07/21/22 07:07:19 AM,,1.00
396,07/21/22 07:08:20 AM,,0.00
397,07/21/22 07:12:27 AM,,1.00
398,07/21/22 07:15:14 AM,,0.00
399,07/21/22 07:15:43 AM,,1.00
400,07/21/22 07:18:24 AM,,0.00
401,07/21/22 07:20:44 AM,,1.00
402,07/21/22 07:21:44 AM,,0.00
403,07/21/22 07:22:04 AM,1.00,
404,07/21/22 07:23:16 AM,,1.00
405,07/21/22 07:24:20 AM,,0.00
406,07/21/22 07:24:32 AM,,1.00
407,07/21/22 07:25:33 AM,,0.00
408,07/21/22 07:25:59 AM,,1.00
409,07/21/22 07:27:27 AM,,0.00
410,07/21/22 07:28:31 AM,,1.00
411,07/21/22 07:29:34 AM,,0.00
412,07/21/22 07:30:51 AM,,1.00
413,07/21/22 07:32:36 AM,,0.00
414,07/21/22 07:32:57 AM,,1.00
415,07/21/22 07:34:02 AM,,0.00
416,07/21/22 07:34:06 AM,,1.00
417,07/21/22 07:35:22 AM,,0.00
418,07/21/22 07:39:50 AM,,1.00
419,07/21/22 07:40:52 AM,,0.00
420,07/21/22 07:41:23 AM,,1.00
421,07/21/22 07:43:20 AM,,0.00
422,07/21/22 07:49:18 AM,,1.00
423,07/21/22 07:52:57 AM,,0.00
424,07/21/22 07:54:03 AM,,1.00
425,07/21/22 07:55:03 AM,,0.00
426,07/21/22 08:00:43 AM,,1.00
427,07/21/22 08:01:46 AM,,0.00
428,07/21/22 08:04:03 AM,,1.00
429,07/21/22 08:05:04 AM,,0.00
430,07/21/22 08:06:03 AM,,1.00
431,07/21/22 08:11:58 AM,,0.00
432,07/21/22 08:13:43 AM,,1.00
433,07/21/22 08:15:48 AM,,0.00
434,07/21/22 08:16:01 AM,,1.00
435,07/21/22 08:17:19 AM,,0.00
436,07/21/22 08:18:22 AM,,1.00
437,07/21/22 08:22:26 AM,,0.00
438,07/21/22 08:22:34 AM,,1.00
439,07/21/22 08:24:07 AM,,0.00
440,07/21/22 08:24:08 AM,,1.00
441,07/21/22 08:31:55 AM,,0.00
442,07/21/22 08:32:58 AM,,1.00
443,07/21/22 08:35:50 AM,,0.00
444,07/21/22 08:36:35 AM,,1.00
445,07/21/22 08:40:05 AM,,0.00
446,07/21/22 08:41:46 AM,,1.00
447,07/21/22 08:43:25 AM,,0.00
448,07/21/22 08:43:57 AM,,1.00
449,07/21/22 08:55:03 AM,,0.00
450,07/21/22 08:55:43 AM,,1.00
451,07/21/22 08:56:51 AM,,0.00
452,07/21/22 08:57:37 AM,,1.00
453,07/21/22 09:00:20 AM,,0.00
454,07/21/22 09:06:30 AM,,1.00
455,07/21/22 09:07:34 AM,,0.00
456,07/21/22 09:08:57 AM,,1.00
457,07/21/22 09:10:06 AM,,0.00
458,07/21/22 09:12:45 AM,,1.00
459,07/21/22 09:18:01 AM,,0.00
460,07/21/22 09:18:30 AM,,1.00
461,07/21/22 09:20:52 AM,,0.00
462,07/21/22 09:21:49 AM,,1.00
463,07/21/22 09:23:26 AM,,0.00
464,07/21/22 09:27:02 AM,,1.00
465,07/21/22 09:31:24 AM,,0.00
466,07/21/22 09:32:05 AM,,1.00
467,07/21/22 09:41:11 AM,,0.00
468,07/21/22 09:41:24 AM,,1.00
469,07/21/22 09:45:34 AM,,0.00
470,07/21/22 10:11:37 AM,,1.00
471,07/21/22 10:13:29 AM,,0.00
472,07/21/22 10:17:29 AM,,1.00
473,07/21/22 10:18:32 AM,,0.00
474,07/21/22 11:23:53 AM,,1.00
475,07/21/22 11:26:17 AM,,0.00
476,07/21/22 11:26:54 AM,,1.00
477,07/21/22 11:28:04 AM,,0.00
478,07/21/22 11:32:04 AM,,1.00
479,07/21/22 11:33:09 AM,,0.00
480,07/21/22 11:59:42 AM,,1.00
481,07/21/22 12:01:03 PM,,0.00
482,07/21/22 12:09:15 PM,,1.00
483,07/21/22 12:10:16 PM,,0.00
484,07/21/22 12:12:13 PM,,1.00
485,07/21/22 12:13:16 PM,,0.00
486,07/21/22 12:15:07 PM,,1.00
487,07/21/22 12:16:38 PM,,0.00
488,07/21/22 12:30:48 PM,,1.00
489,07/21/22 12:31:54 PM,,0.00
490,07/21/22 12:32:30 PM,,1.00
491,07/21/22 12:33:39 PM,,0.00
492,07/21/22 12:34:01 PM,,1.00
493,07/21/22 12:35:12 PM,,0.00
494,07/21/22 12:39:03 PM,,1.00
495,07/21/22 12:40:16 PM,,0.00
496,07/21/22 12:58:22 PM,,1.00
497,07/21/22 12:59:22 PM,,0.00
498,07/21/22 01:05:22 PM,,1.00
499,07/21/22 01:06:59 PM,,0.00
500,07/21/22 01:11:12 PM,,1.00
501,07/21/22 01:12:50 PM,,0.00
502,07/21/22 01:13:21 PM,,1.00
503,07/21/22 01:15:49 PM,,0.00
504,07/21/22 01:16:25 PM,,1.00
505,07/21/22 01:18:40 PM,,0.00
506,07/21/22 01:18:41 PM,,1.00
507,07/21/22 01:19:41 PM,,0.00
508,07/21/22 01:21:05 PM,,1.00
509,07/21/22 01:23:10 PM,,0.00
510,07/21/22 01:23:20 PM,,1.00
511,07/21/22 01:24:27 PM,,0.00
512,07/21/22 01:33:15 PM,,1.00
513,07/21/22 01:34:25 PM,,0.00
514,07/21/22 01:34:28 PM,,1.00
515,07/21/22 01:35:30 PM,,0.00
516,07/21/22 01:36:08 PM,,1.00
517,07/21/22 01:38:42 PM,,0.00
518,07/21/22 01:39:03 PM,,1.00
519,07/21/22 01:40:04 PM,,0.00
520,07/21/22 01:40:14 PM,,1.00
521,07/21/22 01:41:17 PM,,0.00
522,07/21/22 01:43:09 PM,,1.00
523,07/21/22 01:44:29 PM,,0.00
524,07/21/22 01:49:03 PM,,1.00
525,07/21/22 01:50:05 PM,,0.00
526,07/21/22 01:51:59 PM,,1.00
527,07/21/22 01:52:59 PM,,0.00
528,07/21/22 01:56:55 PM,,1.00
529,07/21/22 01:58:37 PM,,0.00
530,07/21/22 01:59:50 PM,,1.00
531,07/21/22 02:00:51 PM,,0.00
532,07/21/22 02:03:13 PM,,1.00
533,07/21/22 02:04:22 PM,,0.00
