Obs_No,Date,Time,Loc_Type,Age,Gender,Residency_Year,Own_Refrigerator?,Own_Washing_Machine?,Own_TV?,Own_Ceiling_fan?,Own_Exhaust_Fan?,Own_Air-cooler?,Own_AC?,Own_Computer?,Others?,Metabolic_Rate  [W/m2],Clothing_insulation,Window_Status,Balcony_Door,Door_Status,Window_Curtains,Lights,Exhaust_fans,Ceiling_fans,Air-coolers,AC,Temperature_Indoor [C],Temperature_Indoor_Globe [C],Relative_Humidity_Indoor [%],Air_Speed_Indoor [m/s],Illumination_Indoor [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%]
518,"Wednesday, September 5, 2018",12:46,L1,22,Female,6 years,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,0.9,0.56,close,close,open ,Not Available,on,off,on,Not Available,off,29.1,29.7,76.2,0.16,23,28.3,48.2
519,"Wednesday, September 5, 2018",14:52,L1,22,Female,7 years,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2,0.56,open ,close,open ,Not Available,on,off,on,Not Available,off,29.5,30,76.5,0.12,40,28.3,48.2
520,"Wednesday, September 5, 2018",17:35,L1,22,Female,8 years,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,0.9,0.56,open ,close,open ,Not Available,on,off,on,Not Available,off,29.3,29.7,71.5,0.35,15,28.3,48.2
521,"Friday, January 25, 2019",17:58,L1,22,Female,9 years,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1.9,0.56,close,close,open ,Not Available,on,off,off,Not Available,off,25.8,25.6,54.8,0,71,23.1,48.2
522,"Wednesday, September 5, 2018",12:50,L1,45,Female,10 years,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2,0.46,close,close,open ,Not Available,on,off,on,Not Available,off,29,29.6,75.6,1.04,15,28.3,48.2
523,"Wednesday, September 5, 2018",14:50,L1,45,Female,11 years,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,2,0.46,open ,close,open ,Not Available,on,off,off,Not Available,off,29.5,29.8,76.9,0.13,34,28.3,48.2
524,"Wednesday, September 5, 2018",17:32,L1,45,Female,12 years,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,0.7,0.46,open ,close,open ,Not Available,on,off,on,Not Available,off,29.3,29.3,72.5,0.12,88,28.3,48.2
525,"Wednesday, September 5, 2018",12:56,L1,40,Female,10 years or more,No,No,No,Yes,No,No,No,No,No,0.9,0.78,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.4,29.2,76.3,0.58,37,28.3,48.2
526,"Wednesday, September 5, 2018",14:58,L1,40,Female,10 years or more,No,No,No,Yes,No,No,No,No,No,0.9,0.78,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,29.2,29.6,77.5,0.34,3,28.3,48.2
527,"Wednesday, September 5, 2018",12:30,L1,60,Female,Less than 1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.78,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,29.4,29.9,70.8,0.19,59,28.3,48.2
528,"Wednesday, September 5, 2018",13:04,L1,68,Male ,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,0.9,0.3,close,close,open ,Not Available,on,Not Available,on,Not Available,off,29,29.5,73.1,0.23,51,28.3,48.2
529,"Wednesday, September 5, 2018",15:07,L1,68,Male ,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,0.9,0.3,close,close,open ,Not Available,on,Not Available,on,Not Available,off,29,29.5,70.8,0.23,53,28.3,48.2
530,"Wednesday, September 5, 2018",17:15,L1,68,Male ,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,1.2,0.49,open ,close,open ,Not Available,on,Not Available,on,Not Available,off,28.9,29.4,71.3,0.3,46,28.3,48.2
531,"Friday, January 25, 2019",12:21,L1,68,Male ,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,1.9,0.25,close,close,open ,Not Available,on,Not Available,off,Not Available,off,25,25.3,40.7,0,76,23.1,66.7
532,"Wednesday, September 5, 2018",13:07,L1,58,Female,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,1.2,0.93,close,close,open ,Not Available,on,Not Available,on,Not Available,off,29.2,29.6,73.8,0.19,52,28.3,66.7
533,"Wednesday, September 5, 2018",15:10,L1,58,Female,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,0.7,0.93,close,close,open ,Not Available,on,Not Available,on,Not Available,off,29.2,29.5,70.2,0.31,65,28.3,66.7
534,"Wednesday, September 5, 2018",17:13,L1,58,Female,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,0.9,0.93,open ,close,open ,Not Available,on,Not Available,off,Not Available,off,28.8,29.4,70.3,0.21,46,28.3,66.7
535,"Friday, January 25, 2019",12:23,L1,58,Female,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,0.9,0.93,close,close,open ,Not Available,on,Not Available,off,Not Available,off,25.1,25.3,39.9,0,76,23.1,66.7
536,"Friday, May 17, 2019",10:53,L1,58,Female,10 years or more,Yes,No,Yes,Yes,No,No,Yes,No,No,0.9,0.78,close,close,open ,Not Available,on,Not Available,off,Not Available,off,28.2,29.4,59.4,0,95,30.1,66.7
537,"Wednesday, September 5, 2018",13:15,L1,47,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.56,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,28.6,29.3,71.3,0.2,59,28.3,66.7
538,"Wednesday, September 5, 2018",15:16,L1,47,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.56,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,28.9,29.5,69.6,0.12,37,28.3,66.7
539,"Wednesday, September 5, 2018",17:17,L1,47,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.56,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,28.8,29.4,72.6,0,46,28.3,66.7
540,"Friday, January 25, 2019",12:24,L1,47,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.51,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.4,25.3,40.4,0,86,23.1,66.7
541,"Friday, January 25, 2019",14:52,L1,47,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.71,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,25.8,25.9,43.7,0,73,23.1,66.7
542,"Friday, January 25, 2019",18:07,L1,47,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.71,open ,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,24.6,25.4,48.8,0,67,23.1,66.7
543,"Friday, May 17, 2019",10:57,L1,47,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.51,open ,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,30.5,30.4,69.5,0.28,29,30.1,66.7
544,"Wednesday, September 5, 2018",13:18,L1,18,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,2,0.39,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.7,29.3,69.8,0.56,124,28.3,66.7
545,"Wednesday, September 5, 2018",15:20,L1,18,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.9,0.39,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.9,29.4,67.8,0.25,38,28.3,66.7
546,"Wednesday, September 5, 2018",17:25,L1,18,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.9,0.29,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.8,29.3,70.5,0.13,19,28.3,66.7
547,"Friday, January 25, 2019",12:29,L1,18,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,1.2,0.51,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25.4,25.5,40.5,0,92,23.1,66.7
548,"Friday, January 25, 2019",14:29,L1,18,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,2,0.51,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,26,25.9,42.5,0.42,87,23.1,66.7
549,"Friday, January 25, 2019",18:04,L1,18,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,1.2,0.51,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25,25.3,47.9,0.1,7,23.1,66.7
550,"Friday, May 17, 2019",11:00,L1,18,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,2,0.51,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,31,31,62.3,0.37,49,30.1,66.7
551,"Wednesday, September 5, 2018",13:20,L1,67,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.8,29.3,69.7,0.24,29,28.3,66.7
552,"Wednesday, September 5, 2018",15:22,L1,67,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.7,0.78,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.9,29.4,68,0.25,96,28.3,66.7
553,"Wednesday, September 5, 2018",17:28,L1,67,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.7,0.78,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,28.8,29.3,70.3,0.11,76,28.3,66.7
554,"Friday, January 25, 2019",12:27,L1,67,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.9,0.39,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25.2,25.4,40.8,0.19,91,23.1,66.7
555,"Friday, January 25, 2019",14:30,L1,67,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.9,0.39,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25.9,25.3,41.7,0.41,91,23.1,66.7
556,"Friday, January 25, 2019",18:03,L1,67,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,1.2,0.29,close,close,open ,Not Available,off,Not Available,off,Not Available,Not Available,25,25.8,48.3,0.12,8,23.1,66.7
557,"Friday, May 17, 2019",11:03,L1,67,Female,10 years or more,No,No,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,30.9,31.2,60.8,0.6,47,30.1,66.7
558,"Wednesday, September 5, 2018",15:19,L1,56,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0.9,0.54,open ,close,open ,Down,on,off,on,Not Available,off,29,29.6,68.5,0.17,37,28.3,66.7
559,"Wednesday, September 5, 2018",17:32,L1,56,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0.9,0.44,close,close,open ,Down,on,off,on,Not Available,off,28.9,29.3,70.2,0.26,59,28.3,66.7
560,"Friday, January 25, 2019",12:32,L1,56,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,2,0.54,close,close,open ,Down,on,off,off,Not Available,off,25.7,25.5,49.2,0,63,23.1,66.7
561,"Friday, January 25, 2019",14:50,L1,56,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0.9,0.71,close,close,open ,Down,on,off,off,Not Available,off,25.7,25.4,43.7,0,32,23.1,66.7
562,"Friday, January 25, 2019",18:11,L1,56,Female,2 years,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,0.9,0.71,close,close,open ,Up,on,off,off,Not Available,off,25.6,25.3,46.3,0.17,56,23.1,66.7
563,"Friday, January 25, 2019",12:37,L1,23,Female,10 years or more,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,25.8,25.4,44.9,0,136,23.1,66.7
564,"Friday, January 25, 2019",12:42,L1,41,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.54,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,26.4,25.8,47.3,0,118,23.1,66.7
565,"Friday, January 25, 2019",14:57,L1,41,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.54,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,26.3,26.1,53.6,0,54,23.1,66.7
566,"Friday, January 25, 2019",18:15,L1,41,Male ,3 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.54,close,close,close,Down,on,Not Available,on,Not Available,Not Available,26.4,25.7,64.8,0.12,162,23.1,66.7
567,"Friday, January 25, 2019",12:46,L1,23,Female,5 years,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0.9,0.66,close,close,open ,Down,off,Not Available,off,Not Available,off,26.2,25.9,50,0,7,23.1,66.7
568,"Friday, January 25, 2019",15:00,L1,23,Female,5 years,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.2,0.66,close,close,open ,Down,off,Not Available,off,Not Available,off,25.8,26.4,44,0.12,30,23.1,66.7
569,"Friday, January 25, 2019",18:17,L1,23,Female,5 years,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1.9,0.66,close,close,open ,Down,on,Not Available,on,Not Available,off,25.9,26.4,50.6,0.19,57,23.1,66.7
570,"Tuesday, September 11, 2018",11:05,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,0.7,0.63,close,open ,open ,Down,on,Not Available,on,Not Available,Not Available,27.5,28.5,81.7,0.38,70,24.3,66.7
571,"Tuesday, September 11, 2018",17:00,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,1.9,0.7,close,open ,open ,Down,on,Not Available,on,Not Available,Not Available,27.4,28.3,79.2,0.24,82,24.3,66.7
572,"Tuesday, September 11, 2018",19:35,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,1.2,0.7,close,open ,open ,Down,on,Not Available,on,Not Available,Not Available,27,27.8,80.7,0.39,67,24.3,66.7
573,"Thursday, January 17, 2019",11:48,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,0.9,0.44,close,close,open ,up,off,Not Available,on,Not Available,Not Available,26.7,27.2,52.4,0.58,43,25.4,66.7
574,"Thursday, January 17, 2019",15:32,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,0.9,0.44,close,close,open ,Down,off,Not Available,on,Not Available,Not Available,28.9,29.4,47.3,0,19,25.4,66.7
575,"Thursday, January 17, 2019",19:37,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,0.9,0.44,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,26.7,27.2,58.9,0.21,9,25.4,66.7
576,"Friday, May 10, 2019",16:03,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,0.9,0.44,open ,open ,open ,Up,off,Not Available,on,on,Not Available,31.5,32.2,58.5,0.93,10,29.1,66.7
577,"Monday, May 13, 2019",11:07,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,0.7,0.8,open ,close,open ,Down,on,Not Available,on,off,Not Available,30.8,31.7,64.4,1.13,156,29.5,66.7
578,"Monday, May 13, 2019",19:51,L2,19,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,Yes,No,1.9,0.64,open ,open ,open ,Up,on,Not Available,off,on,Not Available,29.8,30.1,71.5,1.2,40,29.5,66.7
579,"Tuesday, September 11, 2018",11:10,L2,28,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,1.2,0.44,open ,open ,close,Down,on,Not Available,on,Not Available,Not Available,27.7,28.9,74.3,0.34,56,24.3,66.7
580,"Tuesday, September 11, 2018",17:08,L2,28,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,2,0.44,open ,open ,open ,Down,off,Not Available,off,Not Available,Not Available,27.6,28.2,76.9,0.17,4,24.3,69.9
581,"Tuesday, September 11, 2018",19:40,L2,28,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,2,0.44,close,open ,open ,Up,on,Not Available,off,Not Available,Not Available,27,27.6,79.6,0.13,80,24.3,69.9
582,"Thursday, January 17, 2019",11:42,L2,28,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,2,0.44,close,open ,open ,Down,off,Not Available,off,Not Available,Not Available,27.9,27.9,46.7,0.18,22,25.4,69.9
583,"Thursday, January 17, 2019",15:24,L2,28,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.7,0.44,close,open ,open ,Down,off,Not Available,off,Not Available,Not Available,28.9,28.7,47.3,0.13,14,25.4,69.9
584,"Thursday, January 17, 2019",19:28,L2,28,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,2,0.54,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,26.5,27.3,45.3,0.11,38,25.4,69.9
585,"Friday, May 10, 2019",15:56,L2,28,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.9,0.84,close,open ,open ,Down,off,Not Available,on,Not Available,Not Available,31.3,32.2,59.5,0.34,8,29.1,69.9
586,"Tuesday, September 11, 2018",11:20,L2,54,Male ,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.7,0.69,close,open ,open ,Up,off,Not Available,off,Not Available,Not Available,28,28.7,77.5,0.13,14,24.3,69.9
587,"Tuesday, September 11, 2018",17:12,L2,54,Male ,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.7,0.69,open ,open ,open ,Up,off,Not Available,off,Not Available,Not Available,27.8,28.2,74.7,0.05,4,24.3,69.9
588,"Tuesday, September 11, 2018",19:42,L2,54,Male ,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.9,0.69,close,open ,open ,Up,on,Not Available,on,Not Available,Not Available,27.1,27.5,79.2,0.9,48,24.3,69.9
589,"Thursday, January 17, 2019",11:36,L2,54,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.9,0.44,close,open ,open ,Down,off,Not Available,off,Not Available,Not Available,27.1,27.7,46.1,0.17,25,25.4,69.9
590,"Thursday, January 17, 2019",15:26,L2,54,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.9,0.44,close,open ,open ,Down,off,Not Available,on,Not Available,Not Available,27.8,28.7,48.7,0.2,10,25.4,69.9
591,"Thursday, January 17, 2019",19:30,L2,54,Female,4 years,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,0.9,0.44,open ,open ,open ,Up,on,Not Available,off,Not Available,Not Available,26.8,27.3,47.9,0.22,99,25.4,69.9
592,"Tuesday, September 11, 2018",11:27,L2,50,Female,8 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.39,open ,close,open ,Up,on,Not Available,on,Not Available,Not Available,27.6,28.5,81.1,1.05,44,24.3,69.9
593,"Tuesday, September 11, 2018",16:55,L2,50,Female,8 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.39,open ,close,open ,Up,on,Not Available,on,Not Available,Not Available,27.7,28.4,81.4,1.18,13,24.3,69.9
594,"Tuesday, September 11, 2018",19:24,L2,50,Female,8 years,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,close,close,Up,on,Not Available,on,Not Available,Not Available,27.5,27.6,82.2,0.82,40,24.3,69.9
595,"Tuesday, September 11, 2018",11:34,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Up,off,Not Available,off,Not Available,Not Available,28.3,28.8,73.3,0.05,16,24.3,69.9
596,"Tuesday, September 11, 2018",17:00,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Up,off,Not Available,on,Not Available,Not Available,28.1,28.3,78.3,0.61,5,24.3,69.9
597,"Tuesday, September 11, 2018",19:30,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,close,Down,on,Not Available,on,Not Available,Not Available,28.4,28.1,79,0.43,48,24.3,69.9
598,"Thursday, January 17, 2019",11:24,L2,55,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Up,on,Not Available,off,Not Available,Not Available,27,27.9,52.1,0.13,109,25.4,69.9
599,"Thursday, January 17, 2019",15:45,L2,55,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.55,close,close,open ,Up,off,Not Available,off,Not Available,Not Available,28.4,29.8,51.3,0,14,25.4,69.9
600,"Thursday, January 17, 2019",19:23,L2,55,Male ,2 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.54,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,26.1,27.9,55.2,0,45,25.4,69.9
601,"Tuesday, September 11, 2018",11:40,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,Not Available,27.4,28.3,86.9,0.54,90,24.3,69.9
602,"Tuesday, September 11, 2018",17:03,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.78,open ,close,open ,Up,on,Not Available,on,Not Available,Not Available,27.6,28.4,84.4,0.23,39,24.3,69.9
603,"Tuesday, September 11, 2018",19:31,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.78,open ,close,close,Up,on,Not Available,on,Not Available,Not Available,27.8,28.3,87,0.14,23,24.3,69.9
604,"Thursday, January 17, 2019",11:29,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.78,open ,close,open ,Up,on,Not Available,off,Not Available,Not Available,27,27.8,61.9,0.12,29,25.4,69.9
605,"Thursday, January 17, 2019",15:17,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.78,close,close,close,Up,on,Not Available,off,Not Available,Not Available,26.9,28.4,59.5,0.16,44,25.4,69.9
606,"Thursday, January 17, 2019",19:20,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.78,close,close,open ,Up,on,Not Available,off,Not Available,Not Available,26.9,28.4,50.7,0,51,25.4,69.9
607,"Monday, May 13, 2019",11:00,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,2,0.78,open ,close,open ,Up,on,Not Available,off,on,Not Available,31,31.7,67.1,0.44,82,29.5,68.8
608,"Monday, May 13, 2019",19:46,L2,45,Female,3 years,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.78,open ,close,open ,Up,on,Not Available,off,on,Not Available,29.7,29.9,75.1,0.3,74,29.5,68.8
609,"Tuesday, September 11, 2018",11:51,L2,25,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,28.4,29.4,81.5,0.12,80,24.3,68.8
610,"Tuesday, September 11, 2018",17:22,L2,25,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.46,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,27.9,28.2,81.5,0.35,98,24.3,68.8
611,"Friday, May 10, 2019",15:41,L2,25,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.29,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,31.6,32.5,59.8,0.14,15,29.1,68.8
612,"Monday, May 13, 2019",11:15,L2,25,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,31.2,31.9,79,0.27,79,29.5,68.8
613,"Monday, May 13, 2019",19:59,L2,25,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,30.5,30.7,71.5,0.17,22,29.5,68.8
614,"Tuesday, September 11, 2018",11:55,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.93,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,28.3,29.1,83,0.38,140,24.3,68.8
615,"Tuesday, September 11, 2018",17:26,L2,50,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.93,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,28,28.5,81.5,0.41,43,24.3,68.8
616,"Thursday, January 17, 2019",12:08,L2,50,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.93,close,close,open ,Down,off,Not Available,off,Not Available,Not Available,28.3,28.9,47.4,0,50,25.4,68.8
617,"Thursday, January 17, 2019",15:49,L2,50,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.93,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,28.7,29.6,52.1,0.11,19,25.4,68.8
618,"Thursday, January 17, 2019",19:49,L2,50,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.93,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,25.9,26.6,55.3,0,94,25.4,68.8
619,"Friday, May 10, 2019",15:40,L2,50,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.93,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,31.7,32.8,58.4,0.12,19,29.1,68.8
620,"Monday, May 13, 2019",11:13,L2,50,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.93,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,31.1,32.2,64.5,0.13,71,29.5,68.8
621,"Monday, May 13, 2019",19:58,L2,50,Female,6 years,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.93,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,30.5,30.5,71.8,0.26,23,29.5,68.8
622,"Tuesday, September 11, 2018",11:52,L2,27,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,1.9,0.41,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,28.3,29,83.1,0.16,74,24.3,68.8
623,"Tuesday, September 11, 2018",17:25,L2,27,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.7,0.41,close,close,open ,Down,on,Not Available,on,Not Available,Not Available,28,28.4,81.6,0.76,72,24.3,68.8
624,"Thursday, January 17, 2019",15:52,L2,27,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,1.2,0.46,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,28.4,29.4,48.7,0.12,47,25.4,68.8
625,"Thursday, January 17, 2019",19:51,L2,27,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,2,0.29,close,close,open ,Down,on,Not Available,off,Not Available,Not Available,26.3,26.8,51.2,0.13,27,25.4,68.8
626,"Monday, May 13, 2019",11:17,L2,27,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,open ,close,open ,Not Available,off,Not Available,on,Not Available,Not Available,31,31.6,64.6,0.82,54,29.5,68.8
627,"Monday, May 13, 2019",19:56,L2,27,Female,1 year,Yes,Yes,Yes,Yes,No,No,No,No,No,0.9,0.29,close,close,open ,Not Available,on,Not Available,on,Not Available,Not Available,30.4,30.3,72.6,0.12,22,29.5,68.8
628,"Tuesday, September 11, 2018",12:04,L2,40,Female,1 year,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1.9,0.44,open ,close,open ,Down,on,Not Available,on,Not Available,off,27.5,28.4,77.8,0.53,116,24.3,68.8
629,"Tuesday, September 11, 2018",17:30,L2,40,Female,1 year,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0.7,0.44,open ,close,open ,Down,on,Not Available,on,Not Available,off,27.5,28.4,76.2,0.42,155,24.3,68.8
