Obs_No,Date,Time,Loc_Type,Age,Gender,Residency_Year,Own_Refrigerator?,Own_Washing_Machine?,Own_TV?,Own_Ceiling_fan?,Own_Exhaust_Fan?,Own_Air-cooler?,Own_AC?,Own_Computer?,Others?,Metabolic_Rate  [W/m2],Clothing_insulation,Window_Status,Balcony_Door,Door_Status,Window_Curtains,Lights,Exhaust_fans,Ceiling_fans,Air-coolers,AC,Temperature_Indoor [C],Temperature_Indoor_Globe [C],Relative_Humidity_Indoor [%],Air_Speed_Indoor [m/s],Illumination_Indoor [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%]
282,"Sunday, January 27, 2019",12:21,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.48,open ,open ,close,Not Available,off,Not Available,off,Not Available,Not Available,26.3,26.1,51.7,0,43,23.5,56.8
283,"Sunday, January 27, 2019",17:13,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.48,open ,open ,close,Not Available,off,Not Available,off,Not Available,Not Available,26.8,27.1,46.4,0.19,18,23.5,56.8
284,"Sunday, January 27, 2019",20:10,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,1.9,0.48,open ,open ,close,Not Available,on,Not Available,off,Not Available,Not Available,25.7,25.9,47.7,0.2,21,23.5,56.8
285,"Sunday, May 19, 2019",12:01,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.48,open ,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,33.3,33.7,56.5,0.18,29,31.4,56.8
286,"Sunday, May 19, 2019",19:46,L2,33,Male ,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.48,close,open ,close,Not Available,on,Not Available,on,Not Available,Not Available,32.6,32.8,62.4,0.45,27,31.4,56.8
287,"Sunday, September 2, 2018",12:08,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.78,open ,open ,open ,Not Available,off,Not Available,on,Not Available,Not Available,28.6,28.6,76.6,0.98,7,24.5,56.8
288,"Sunday, September 2, 2018",16:30,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,1.2,0.78,open ,open ,close,Not Available,off,Not Available,on,Not Available,Not Available,29.1,29.5,78.9,0.25,14,24.5,56.8
289,"Sunday, September 2, 2018",19:03,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.9,0.78,close,close,open ,Not Available,on,Not Available,off,Not Available,Not Available,29,28.7,76,0.09,48,24.5,56.8
290,"Sunday, January 27, 2019",12:19,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,2,0.69,close,close,close,Not Available,off,Not Available,off,Not Available,Not Available,26.2,26,54.1,0,18,23.5,56.8
291,"Sunday, January 27, 2019",17:09,L2,59,Female,1 year,Yes,No,Yes,Yes,No,No,No,No,No,0.7,0.69,open ,open ,close,Not Available,off,Not Available,off,Not Available,Not Available,26.6,26.5,48.7,0,53,23.5,56.8
