,Temp C
2022-07-21 15:45:00,25.43883333333333
2022-07-21 16:00:00,25.45633333333333
2022-07-21 16:15:00,25.454666666666665
2022-07-21 16:30:00,25.449666666666666
2022-07-21 16:45:00,25.45133333333333
2022-07-21 17:00:00,25.458766666666666
2022-07-21 17:15:00,25.482833333333335
2022-07-21 17:30:00,25.5085
2022-07-21 17:45:00,25.506000000000004
2022-07-21 18:00:00,25.415666666666667
2022-07-21 18:15:00,25.33683333333333
2022-07-21 18:30:00,25.3216
2022-07-21 18:45:00,25.3008
2022-07-21 19:00:00,25.242366666666666
2022-07-21 19:15:00,25.2006
2022-07-21 19:30:00,25.146433333333334
2022-07-21 19:45:00,25.0852
2022-07-21 20:00:00,25.042033333333336
2022-07-21 20:15:00,24.962933333333336
2022-07-21 20:30:00,24.8952
2022-07-21 20:45:00,24.85086666666667
2022-07-21 21:00:00,24.790200000000002
2022-07-21 21:15:00,24.737233333333332
2022-07-21 21:30:00,24.6756
2022-07-21 21:45:00,24.6148
2022-07-21 22:00:00,24.5386
2022-07-21 22:15:00,24.4618
2022-07-21 22:30:00,24.402
2022-07-21 22:45:00,24.40533333333333
2022-07-21 23:00:00,24.4194
2022-07-21 23:15:00,24.4386
2022-07-21 23:30:00,24.4554
2022-07-21 23:45:00,24.4658
2022-07-22 00:00:00,24.486600000000003
2022-07-22 00:15:00,24.489
2022-07-22 00:30:00,24.492200000000004
2022-07-22 00:45:00,24.493000000000002
2022-07-22 01:00:00,24.497000000000003
2022-07-22 01:15:00,24.492200000000004
2022-07-22 01:30:00,24.493000000000002
2022-07-22 01:45:00,24.489
2022-07-22 02:00:00,24.489
2022-07-22 02:15:00,24.489
2022-07-22 02:30:00,24.4826
2022-07-22 02:45:00,24.4722
2022-07-22 03:00:00,24.4658
2022-07-22 03:15:00,24.465
2022-07-22 03:30:00,24.456200000000003
2022-07-22 03:45:00,24.445
2022-07-22 04:00:00,24.441
2022-07-22 04:15:00,24.4282
2022-07-22 04:30:00,24.416966666666667
2022-07-22 04:45:00,24.40533333333333
2022-07-22 05:00:00,24.392833333333332
2022-07-22 05:15:00,24.3784
2022-07-22 05:30:00,24.3672
2022-07-22 05:45:00,24.348000000000003
2022-07-22 06:00:00,24.343200000000003
2022-07-22 06:15:00,24.332800000000002
2022-07-22 06:30:00,24.322400000000002
2022-07-22 06:45:00,24.355999999999998
2022-07-22 07:00:00,24.4313
2022-07-22 07:15:00,24.5002
2022-07-22 07:30:00,24.5977
2022-07-22 07:45:00,24.708033333333333
2022-07-22 08:00:00,24.6852
2022-07-22 08:15:00,24.70563333333333
2022-07-22 08:30:00,24.8331
2022-07-22 08:45:00,24.94433333333333
2022-07-22 09:00:00,25.0234
2022-07-22 09:15:00,25.0258
2022-07-22 09:30:00,25.053400000000003
2022-07-22 09:45:00,25.1044
2022-07-22 10:00:00,25.102800000000002
2022-07-22 10:15:00,25.0852
2022-07-22 10:30:00,25.028233333333333
2022-07-22 10:45:00,25.002599999999997
2022-07-22 11:00:00,25.041033333333335
2022-07-22 11:15:00,25.06833333333333
2022-07-22 11:30:00,25.069166666666668
2022-07-22 11:45:00,25.060000000000002
2022-07-22 12:00:00,25.04666666666667
2022-07-22 12:15:00,25.045
2022-07-22 12:30:00,25.045
2022-07-22 12:45:00,25.0426
2022-07-22 13:00:00,25.0442
2022-07-22 13:15:00,25.043400000000002
2022-07-22 13:30:00,25.045
2022-07-22 13:45:00,25.045833333333334
2022-07-22 14:00:00,25.05
2022-07-22 14:15:00,25.061666666666667
2022-07-22 14:30:00,25.07
2022-07-22 14:45:00,25.07
2022-07-22 15:00:00,25.082800000000002
2022-07-22 15:15:00,25.157733333333333
2022-07-22 15:30:00,25.265300000000003
2022-07-22 15:45:00,25.3112
2022-07-22 16:00:00,25.354266666666668
2022-07-22 16:15:00,25.3882
2022-07-22 16:30:00,25.4218
2022-07-22 16:45:00,25.452166666666663
2022-07-22 17:00:00,25.4756
2022-07-22 17:15:00,25.4996
2022-07-22 17:30:00,25.50766666666667
2022-07-22 17:45:00,25.5044
2022-07-22 18:00:00,25.506000000000004
2022-07-22 18:15:00,25.5052
2022-07-22 18:30:00,25.4972
2022-07-22 18:45:00,25.4756
2022-07-22 19:00:00,25.457166666666662
2022-07-22 19:15:00,25.434666666666665
2022-07-22 19:30:00,25.421
2022-07-22 19:45:00,25.401799999999998
2022-07-22 20:00:00,25.3762
2022-07-22 20:15:00,25.345166666666668
2022-07-22 20:30:00,25.312
2022-07-22 20:45:00,25.284
2022-07-22 21:00:00,25.240133333333333
2022-07-22 21:15:00,25.1838
2022-07-22 21:30:00,25.139
2022-07-22 21:45:00,25.096400000000003
2022-07-22 22:00:00,25.04286666666667
2022-07-22 22:15:00,24.98326666666667
2022-07-22 22:30:00,24.935200000000002
2022-07-22 22:45:00,24.9
2022-07-22 23:00:00,24.76383333333333
2022-07-22 23:15:00,24.7982
2022-07-22 23:30:00,24.8046
2022-07-22 23:45:00,24.8094
2022-07-23 00:00:00,24.803800000000003
2022-07-23 00:15:00,24.803
2022-07-23 00:30:00,24.8046
2022-07-23 00:45:00,24.803
2022-07-23 01:00:00,24.7958
2022-07-23 01:15:00,24.7814
2022-07-23 01:30:00,24.779
2022-07-23 01:45:00,24.7758
2022-07-23 02:00:00,24.759
2022-07-23 02:15:00,24.755
2022-07-23 02:30:00,24.747
2022-07-23 02:45:00,24.7342
2022-07-23 03:00:00,24.7285
2022-07-23 03:15:00,24.710166666666666
2022-07-23 03:30:00,24.705199999999998
2022-07-23 03:45:00,24.689999999999998
2022-07-23 04:00:00,24.6764
2022-07-23 04:15:00,24.662
2022-07-23 04:30:00,24.6484
2022-07-23 04:45:00,24.634
2022-07-23 05:00:00,24.6204
2022-07-23 05:15:00,24.6084
2022-07-23 05:30:00,24.589999999999996
2022-07-23 05:45:00,24.576833333333333
2022-07-23 06:00:00,24.561
2022-07-23 06:15:00,24.5458
2022-07-23 06:30:00,24.5354
2022-07-23 06:45:00,24.525
